iter	Logloss
0	0.6892727583
1	0.6853485107
2	0.6817749708
3	0.6784535922
4	0.676078992
5	0.6723267971
6	0.6692676055
7	0.6660516201
8	0.6623169337
9	0.6594951825
10	0.6561255822
11	0.6522584573
12	0.650050579
13	0.646598767
14	0.6437684573
15	0.6410478445
16	0.6382317176
17	0.6353475131
18	0.6320984669
19	0.6294036278
20	0.626807384
21	0.6240017231
22	0.6211294517
23	0.6183825273
24	0.6156106607
25	0.6131645105
26	0.6106876471
27	0.6084889143
28	0.6056418297
29	0.6031641838
30	0.6004718878
31	0.5983098837
32	0.5958360525
33	0.5939925756
34	0.5912043254
35	0.5886256878
36	0.5858247708
37	0.5837460542
38	0.5813661233
39	0.5787725204
40	0.5766833379
41	0.5741426028
42	0.5720069103
43	0.5695021703
44	0.5681886918
45	0.5663749499
46	0.5640800672
47	0.5620835622
48	0.5605921134
49	0.5590143448
50	0.5566609701
51	0.5545521272
52	0.5523340274
53	0.5505226331
54	0.5483816098
55	0.5463695526
56	0.544221389
57	0.5426827944
58	0.5408059634
59	0.5388286297
60	0.5368828407
61	0.5350019015
62	0.5336670509
63	0.5320974986
64	0.530620037
65	0.5289282187
66	0.527489491
67	0.5259630741
68	0.5244245285
69	0.5226660019
70	0.5214767945
71	0.5196277423
72	0.5180777525
73	0.5166464586
74	0.5157691271
75	0.5142843295
76	0.5127192766
77	0.5114290286
78	0.5105445079
79	0.5091131161
80	0.5074312259
81	0.5055956718
82	0.5047371204
83	0.502982702
84	0.501546224
85	0.5000275832
86	0.498693564
87	0.4971130567
88	0.4958399259
89	0.4945624914
90	0.4931605412
91	0.4919681549
92	0.4911252535
93	0.4895938971
94	0.4879054045
95	0.4868080433
96	0.4850997436
97	0.4834944896
98	0.4823928735
99	0.4812155993
100	0.4799873645
101	0.4787648519
102	0.4778101994
103	0.4764964764
104	0.4756098527
105	0.4746649326
106	0.4733786461
107	0.4720862951
108	0.4711510585
109	0.4697891627
110	0.468565623
111	0.4675038167
112	0.4663892893
113	0.465180666
114	0.4640579224
115	0.4629131219
116	0.4617891556
117	0.4609721257
118	0.4597148895
119	0.4588249891
120	0.4579593952
121	0.4568851178
122	0.455584795
123	0.4545732156
124	0.4537041004
125	0.4525158222
126	0.4515990233
127	0.4502877945
128	0.4492623256
129	0.4482915829
130	0.4473811908
131	0.4462304727
132	0.4451976678
133	0.4443156414
134	0.4433273902
135	0.4423175714
136	0.4413690812
137	0.4403864543
138	0.4394571353
139	0.4385281587
140	0.4375911126
141	0.4369590955
142	0.4362391447
143	0.4352102035
144	0.4341920706
145	0.4331937937
146	0.4323861049
147	0.4316121615
148	0.4305933439
